4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,2,4,2,4,2,4,2,4,2,3,2,4,3,3
2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3
2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,3,2,2,2,2,1,2,2,3,3,3,3,3,3,3,2
2,2,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3
8,8,8,8,3,8,8,8,3,3,8,3,3,3,8,1,3,8,8
8,3,8,8,3,8,3,8,8,8,8,8,8,3,3,3,3,3,8
8,8,3,3,3,8,8,8,3,3,3,3,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8
5,5,3,3,5,3,3,5,3,3,5,3,3,5,3,5,3,5,3
5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5
6,6,6,6,6,6,3,3,6,6,0,6,6,3,3,6,3,6,3
