4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,3,1,2,2,9,2,2,2,3,2,2,2,2,2,3,3,3,3
2,2,2,3,2,2,2,2,9,2,2,3,2,2,2,2,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,11,2,3
3,2,11,2,3,2,2,2,7,2,2,3,2,2,3,2,2,2,3
3,3,3,8,8,3,8,3,8,8,8,8,8,8,8,8,8,8,8
3,3,3,8,8,8,11,8,8,8,8,8,8,3,8,8,9,8,8
3,3,8,8,3,3,8,3,9,8,8,1,8,8,8,8,8,8,8
8,8,8,8,8,8,8,8,3,8,8,8,8,8,11,8,7,8,8
5,5,11,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3
3,5,5,5,1,5,5,1,5,5,3,5,5,3,5,5,9,5,3
5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3
6,6,7,6,6,6,6,1,6,6,3,6,6,1,6,6,9,3,3
6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,3,3,3
